	ERR11588428_R1_filtered.fastq.gz	ERR11588429_R1_filtered.fastq.gz	ERR11588430_R1_filtered.fastq.gz	ERR11588431_R1_filtered.fastq.gz	ERR11588432_R1_filtered.fastq.gz	ERR11588433_R1_filtered.fastq.gz	ERR11588434_R1_filtered.fastq.gz	ERR11588435_R1_filtered.fastq.gz	ERR11588436_R1_filtered.fastq.gz	ERR11588437_R1_filtered.fastq.gz
ASV_1	0	0	0	2261	2077	2053	0	0	0	0
ASV_2	0	0	0	1807	1698	1666	0	0	0	0
ASV_3	0	0	0	1593	1527	1514	0	0	0	0
ASV_4	0	0	0	1396	1293	1351	0	0	0	0
ASV_5	0	0	0	1191	1140	1151	0	0	0	0
ASV_6	0	0	0	1232	1100	1080	0	0	0	0
ASV_7	0	0	0	1082	1061	1067	0	0	0	0
ASV_8	0	0	0	1177	870	865	18	28	0	0
ASV_9	0	0	0	889	924	895	0	0	0	0
ASV_10	0	0	0	894	828	828	0	0	0	0
ASV_11	0	0	0	978	742	703	20	30	0	0
ASV_12	0	0	0	854	669	641	24	41	0	0
ASV_13	0	0	0	766	621	612	0	20	0	0
ASV_14	0	0	0	717	586	470	20	13	0	0
ASV_15	0	0	0	606	493	452	27	36	0	0
ASV_16	0	0	0	570	424	390	8	13	0	0
ASV_17	0	0	0	517	376	341	23	10	0	0
ASV_18	0	0	0	404	299	270	0	7	0	0
ASV_19	0	0	0	325	275	200	9	13	0	0
ASV_20	0	0	0	317	230	205	0	9	0	0
ASV_21	0	0	0	294	244	202	0	13	0	0
ASV_22	0	0	0	282	186	192	6	8	0	0
ASV_23	0	0	0	0	0	0	221	432	0	0
ASV_24	0	0	0	0	0	0	0	0	0	652
ASV_25	0	0	0	0	0	0	0	0	0	641
ASV_26	0	0	0	266	187	159	6	22	0	0
ASV_27	0	0	0	193	105	285	0	0	0	0
ASV_28	0	0	0	221	178	171	0	10	0	0
ASV_29	0	0	0	0	0	0	0	0	0	532
ASV_30	0	0	0	169	143	120	16	65	0	0
ASV_31	0	0	0	0	0	0	143	349	0	0
ASV_32	0	0	0	173	100	208	0	0	0	0
ASV_33	0	0	0	0	0	0	0	0	0	474
ASV_34	0	0	0	0	0	0	0	0	0	470
ASV_35	0	0	0	0	0	0	239	219	0	0
ASV_36	0	0	0	168	74	200	0	0	0	0
ASV_37	0	0	0	135	86	211	0	0	0	0
ASV_38	0	0	0	143	104	75	20	83	0	0
ASV_39	0	0	0	0	0	0	0	0	0	414
ASV_40	0	0	0	0	0	0	0	0	0	409
ASV_41	0	0	0	0	0	0	0	0	0	400
ASV_42	0	0	0	0	0	0	0	0	0	391
ASV_43	0	0	0	0	0	0	110	275	0	0
ASV_44	0	0	0	0	0	0	0	0	0	377
ASV_45	0	0	0	0	0	0	0	0	0	374
ASV_46	0	0	0	0	0	0	195	173	0	0
ASV_47	0	0	0	0	0	0	0	0	0	368
ASV_48	0	0	0	0	0	0	0	0	0	351
ASV_49	0	0	0	0	0	0	0	0	0	347
ASV_50	0	0	0	0	0	0	95	251	0	0
ASV_51	0	0	0	0	0	0	179	166	0	0
ASV_52	0	0	0	132	62	73	23	43	0	0
ASV_53	0	0	0	0	0	0	0	0	0	321
ASV_54	0	0	0	0	0	0	94	226	0	0
ASV_55	0	0	0	0	0	0	0	0	0	320
ASV_56	0	0	0	100	70	70	16	59	0	0
ASV_57	31	46	42	0	0	0	121	73	0	0
ASV_58	0	0	0	0	0	0	0	0	0	311
ASV_59	0	0	0	0	0	0	0	0	0	285
ASV_60	0	0	0	0	0	0	73	207	0	0
ASV_61	0	0	0	0	0	0	0	0	0	280
ASV_62	0	0	0	0	0	0	0	0	0	273
ASV_63	93	33	91	0	0	0	53	0	0	0
ASV_64	0	0	0	0	0	0	0	0	0	270
ASV_65	0	0	0	0	0	0	0	0	0	267
ASV_66	0	0	0	0	0	0	0	0	0	267
ASV_67	135	82	49	0	0	0	0	0	0	0
ASV_68	0	0	0	0	0	0	0	0	0	264
ASV_69	0	0	0	0	0	0	0	0	0	264
ASV_70	0	0	0	0	0	0	0	0	0	256
ASV_71	0	0	0	0	0	0	0	0	0	255
ASV_72	100	79	74	0	0	0	0	0	0	0
ASV_73	0	0	0	0	0	0	0	0	0	248
ASV_74	70	87	86	0	0	0	0	0	0	0
ASV_75	0	0	0	0	0	0	0	0	0	240
ASV_76	0	0	0	102	46	89	0	0	0	0
ASV_77	0	0	0	0	0	0	0	0	0	226
ASV_78	0	0	0	0	0	0	0	0	0	224
ASV_79	0	0	0	0	0	0	0	0	0	215
ASV_80	51	21	98	0	0	0	43	0	0	0
ASV_81	0	0	0	82	43	77	0	0	0	0
ASV_82	0	0	0	0	0	0	0	0	0	202
ASV_83	62	36	92	0	0	0	0	0	0	0
ASV_84	64	65	58	0	0	0	0	0	0	0
ASV_85	33	46	30	0	0	0	74	0	0	0
ASV_86	0	98	83	0	0	0	0	0	0	0
ASV_87	0	0	0	0	0	0	106	75	0	0
ASV_88	62	95	20	0	0	0	0	0	0	0
ASV_89	28	21	42	0	0	0	85	0	0	0
ASV_90	0	0	0	96	32	47	0	0	0	0
ASV_91	25	35	30	0	0	0	43	39	0	0
ASV_92	43	67	61	0	0	0	0	0	0	0
ASV_93	43	59	36	0	0	0	16	17	0	0
ASV_94	0	0	0	57	114	0	0	0	0	0
ASV_95	77	0	93	0	0	0	0	0	0	0
ASV_96	0	0	0	0	0	0	55	115	0	0
ASV_97	37	65	67	0	0	0	0	0	0	0
ASV_98	0	0	0	0	0	0	72	97	0	0
ASV_99	0	0	0	77	34	57	0	0	0	0
ASV_100	0	0	0	36	100	32	0	0	0	0
ASV_101	0	0	0	50	0	117	0	0	0	0
ASV_102	85	39	42	0	0	0	0	0	0	0
ASV_103	52	82	32	0	0	0	0	0	0	0
ASV_104	42	70	53	0	0	0	0	0	0	0
ASV_105	52	79	33	0	0	0	0	0	0	0
ASV_106	0	0	0	0	0	0	0	164	0	0
ASV_107	67	48	48	0	0	0	0	0	0	0
ASV_108	64	84	15	0	0	0	0	0	0	0
ASV_109	54	44	65	0	0	0	0	0	0	0
ASV_110	73	0	89	0	0	0	0	0	0	0
ASV_111	0	0	0	0	0	0	139	23	0	0
ASV_112	62	87	10	0	0	0	0	0	0	0
ASV_113	0	69	89	0	0	0	0	0	0	0
ASV_114	0	0	0	34	95	29	0	0	0	0
ASV_115	0	0	0	0	103	55	0	0	0	0
ASV_116	0	0	0	36	60	44	17	0	0	0
ASV_117	57	0	98	0	0	0	0	0	0	0
ASV_118	0	98	56	0	0	0	0	0	0	0
ASV_119	0	87	67	0	0	0	0	0	0	0
ASV_120	0	76	77	0	0	0	0	0	0	0
ASV_121	0	88	64	0	0	0	0	0	0	0
ASV_122	0	0	0	0	0	0	58	94	0	0
ASV_123	69	0	82	0	0	0	0	0	0	0
ASV_124	44	46	61	0	0	0	0	0	0	0
ASV_125	150	0	0	0	0	0	0	0	0	0
ASV_126	61	35	53	0	0	0	0	0	0	0
ASV_127	0	0	0	0	0	0	120	29	0	0
ASV_128	81	15	52	0	0	0	0	0	0	0
ASV_129	65	0	83	0	0	0	0	0	0	0
ASV_130	10	7	18	0	0	0	18	95	0	0
ASV_131	0	80	67	0	0	0	0	0	0	0
ASV_132	78	0	0	0	0	0	68	0	0	0
ASV_133	0	84	62	0	0	0	0	0	0	0
ASV_134	0	0	0	0	146	0	0	0	0	0
ASV_135	77	68	0	0	0	0	0	0	0	0
ASV_136	0	0	0	0	0	0	71	74	0	0
ASV_137	0	0	0	0	0	0	63	82	0	0
ASV_138	0	144	0	0	0	0	0	0	0	0
ASV_139	0	73	71	0	0	0	0	0	0	0
ASV_140	0	0	0	63	44	37	0	0	0	0
ASV_141	0	0	0	0	0	0	53	91	0	0
ASV_142	0	0	0	5	0	28	75	35	0	0
ASV_143	73	0	69	0	0	0	0	0	0	0
ASV_144	41	50	34	0	0	0	8	9	0	0
ASV_145	14	24	103	0	0	0	0	0	0	0
ASV_146	0	0	0	23	0	24	73	20	0	0
ASV_147	24	39	76	0	0	0	0	0	0	0
ASV_148	70	68	0	0	0	0	0	0	0	0
ASV_149	31	78	29	0	0	0	0	0	0	0
ASV_150	0	0	0	0	0	0	27	111	0	0
ASV_151	69	0	68	0	0	0	0	0	0	0
ASV_152	67	0	70	0	0	0	0	0	0	0
ASV_153	0	60	77	0	0	0	0	0	0	0
ASV_154	0	0	0	61	33	43	0	0	0	0
ASV_155	68	0	68	0	0	0	0	0	0	0
ASV_156	40	37	35	0	0	0	23	0	0	0
ASV_157	32	46	29	0	0	0	28	0	0	0
ASV_158	0	55	80	0	0	0	0	0	0	0
ASV_159	63	0	71	0	0	0	0	0	0	0
ASV_160	47	44	43	0	0	0	0	0	0	0
ASV_161	28	43	63	0	0	0	0	0	0	0
ASV_162	0	0	0	0	0	0	54	80	0	0
ASV_163	50	0	0	0	0	0	55	27	0	0
ASV_164	0	0	0	52	0	80	0	0	0	0
ASV_165	48	36	47	0	0	0	0	0	0	0
